url| title| publish_date| authors
https://bleacherreport.com/articles/10012490-wada-will-review-marijuana-policy-after-shacarri-richardsons-olympic-ban?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial|WADA Will Review Marijuana Policy After Sha'Carri Richardson's Olympic Ban|September 15, 2021|['Timothy Rapp']
https://bleacherreport.com/articles/10012451-nan-wooden-daughter-of-legendary-ucla-coach-john-dies-at-87?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial|Nan Wooden, Daughter of Legendary UCLA Coach John, Dies at 87|September 15, 2021|['Scott Polacek']
http://cnn.com/2021/09/15/entertainment/billy-crudup-hasan-minhaj-morning-show/index.html|Billy Crudup and Hasan Minhaj talk Season 2 of 'The Morning Show'|2021-09-15 00:00:00|['Lisa Respers France']
http://cnn.com/2021/09/15/entertainment/octavia-spencer-britney-spears-sam-asghari-apology/index.html|Octavia Spencer apologizes to Britney Spears and Sam Asghari|2021-09-15 00:00:00|['Marianne Garvey']
http://cnn.com/2021/09/15/entertainment/climate-night-climate-change-late-night/index.html|Late-night hosts join forces for first ever 'Climate Night'|2021-09-15 00:00:00|['Marianne Garvey']
http://cnn.com/2021/09/15/entertainment/julianne-hough-activist-backlash/index.html|Julianne Hough says she's 'deeply listening' to 'The Activist' criticism|2021-09-15 00:00:00|['Lisa Respers France']
http://cnn.com/2021/09/14/entertainment/norm-macdonald-death/index.html|Norm Macdonald, comedian and 'Saturday Night Live' alum, dies at 61|2021-09-14 00:00:00|['Lisa Respers France']
http://cnn.com/2021/09/15/entertainment/chrissy-teigen-surgery-cheeks/index.html|Chrissy Teigen says she had surgery to remove fat from her cheeks|2021-09-15 00:00:00|['Marianne Garvey']
http://cnn.com/2021/09/14/entertainment/once-upon-a-time-in-queens-review/index.html|'Once Upon a Time in Queens' looks back at the '86 Mets and the New York of it all|2021-09-14 00:00:00|['Review Brian Lowry']
http://cnn.com/2021/09/14/entertainment/wu-tang-rza/index.html|Wu-Tang's RZA talks physical, emotional and spiritual evolution|2021-09-14 00:00:00|['Marianne Garvey']
http://cnn.com/2021/09/15/entertainment/fat-joe-ja-rule-verzuz-msg-trnd/index.html|Fat Joe and Ja Rule face off in Verzuz battle|2021-09-15 00:00:00|['Chloe Melas']
http://cnn.com/2021/09/13/entertainment/jeff-bridges-cancer-covid/index.html|Jeff Bridges details battle with Covid and cancer|2021-09-13 00:00:00|['Sandra Gonzalez']
http://cnn.com/2021/09/14/entertainment/sam-asghari-britney-spears/index.html|Sam Asghari: Get to know Britney Spears' fiancé|2021-09-14 00:00:00|['Lisa Respers France']
